token	corpus size	all contexts size	frequency	co-frequency	specificity
つ	141167	114736	5978	5927	456.33
七	141167	114736	5182	5162	432.80
の	141167	114736	13184	11747	144.88
｜	141167	114736	759	755	60.94
『	141167	114736	1753	1638	48.71
〉	141167	114736	936	898	40.83
〈	141167	114736	808	780	39.04
』	141167	114736	1765	1622	36.31
：	141167	114736	452	446	31.52
Origin	141167	114736	258	258	23.25
アニメ	141167	114736	320	310	16.78
戒め	141167	114736	177	177	15.95
逆鱗	141167	114736	174	174	15.68
週刊	141167	114736	167	167	15.05
マガジン	141167	114736	167	167	15.05
審判	141167	114736	166	166	14.96
マガメガ	141167	114736	164	164	14.77
国津	141167	114736	161	161	14.50
意味	141167	114736	153	153	13.78
sin	141167	114736	147	147	13.24
講談社	141167	114736	204	200	13.08
コミック	141167	114736	204	200	13.08
プラス	141167	114736	204	200	13.08
源	141167	114736	144	144	12.97
】	141167	114736	143	143	12.88
神々	141167	114736	225	219	12.87
天津	141167	114736	139	139	12.52
は	141167	114736	2920	2515	12.45
7	141167	114736	181	178	12.23
犯せる	141167	114736	135	135	12.16
象徴	141167	114736	134	134	12.07
天	141167	114736	178	175	11.98
シリーズ	141167	114736	177	174	11.90
国	141167	114736	221	214	11.71
ます	141167	114736	547	502	11.65
コスプレ	141167	114736	129	129	11.62
作品	141167	114736	258	246	10.75
悪魔	141167	114736	359	335	10.45
重い	141167	114736	110	110	9.91
関連	141167	114736	150	147	9.68
憤怒	141167	114736	213	204	9.60
つつみ	141167	114736	147	144	9.44
天空	141167	114736	103	103	9.28
犯す	141167	114736	102	102	9.19
母	141167	114736	102	102	9.19
“	141167	114736	473	431	9.00
予兆	141167	114736	141	138	8.95
これ	141167	114736	194	186	8.94
子	141167	114736	99	99	8.92
囚われ人	141167	114736	99	99	8.92
少年	141167	114736	173	167	8.88
·	141167	114736	96	96	8.65
新	141167	114736	131	128	8.15
紹介	141167	114736	292	271	7.95
ね	141167	114736	88	88	7.93
復活	141167	114736	197	187	7.84
団員	141167	114736	87	87	7.84
社会的	141167	114736	87	87	7.84
聖戦	141167	114736	186	177	7.71
四	141167	114736	221	208	7.67
対応	141167	114736	84	84	7.57
信者	141167	114736	84	84	7.57
元	141167	114736	83	83	7.48
死	141167	114736	188	178	7.23
怨嗟	141167	114736	77	77	6.93
カテゴリ	141167	114736	77	77	6.93
コラボ	141167	114736	76	76	6.84
くに	141167	114736	75	75	6.75
エジンバラ	141167	114736	74	74	6.66
つい	141167	114736	268	247	6.59
）	141167	114736	1136	983	6.35
ギリシャ	141167	114736	70	70	6.30
達	141167	114736	107	104	6.25
者	141167	114736	117	113	6.22
７	141167	114736	69	69	6.21
重さ	141167	114736	69	69	6.21
以下	141167	114736	105	102	6.10
南	141167	114736	67	67	6.03
説明	141167	114736	66	66	5.94
具体例	141167	114736	66	66	5.94
背負う	141167	114736	66	66	5.94
ざい	141167	114736	102	99	5.86
てる	141167	114736	65	65	5.85
言葉	141167	114736	64	64	5.76
至る	141167	114736	120	115	5.71
あみ	141167	114736	63	63	5.67
ショー	141167	114736	63	63	5.67
写真	141167	114736	63	63	5.67
へ	141167	114736	119	114	5.64
2	141167	114736	218	201	5.55
傲慢	141167	114736	61	61	5.49
秘跡	141167	114736	60	60	5.40
お	141167	114736	96	93	5.40
順番	141167	114736	96	93	5.40
サイト	141167	114736	58	58	5.22
畜	141167	114736	57	57	5.13
神話	141167	114736	56	56	5.04
シン	141167	114736	91	88	5.02
解説	141167	114736	119	113	5.00
呪わ	141167	114736	100	96	4.96
公式	141167	114736	89	86	4.87
れる	141167	114736	181	167	4.78
秩序	141167	114736	52	52	4.68
です	141167	114736	429	379	4.66
おけ	141167	114736	86	83	4.65
劇場	141167	114736	251	227	4.60
まま	141167	114736	51	51	4.59
ゆるし	141167	114736	51	51	4.59
書か	141167	114736	51	51	4.59
見る	141167	114736	51	51	4.59
–	141167	114736	51	51	4.59
TV	141167	114736	176	162	4.51
英	141167	114736	50	50	4.50
種類	141167	114736	50	50	4.50
導く	141167	114736	50	50	4.50
×	141167	114736	50	50	4.50
悔い改め	141167	114736	48	48	4.32
出で	141167	114736	48	48	4.32
む	141167	114736	48	48	4.32
一覧	141167	114736	48	48	4.32
高	141167	114736	48	48	4.32
〜	141167	114736	48	48	4.32
小	141167	114736	177	162	4.16
団長	141167	114736	46	46	4.14
【	141167	114736	122	114	4.10
ルシファー	141167	114736	78	75	4.06
区分	141167	114736	45	45	4.05
ねたみ	141167	114736	45	45	4.05
おの	141167	114736	45	45	4.05
神道	141167	114736	77	74	3.98
エジプト	141167	114736	44	44	3.96
修道士	141167	114736	44	44	3.96
中	141167	114736	178	162	3.85
黙示録	141167	114736	155	142	3.79
指し	141167	114736	42	42	3.78
至ら	141167	114736	42	42	3.78
流さ	141167	114736	42	42	3.78
背く	141167	114736	42	42	3.78
許	141167	114736	42	42	3.78
レヴィ	141167	114736	42	42	3.78
アタン	141167	114736	42	42	3.78
セブン	141167	114736	42	42	3.78
光	141167	114736	116	108	3.74
悪	141167	114736	73	70	3.69
可能性	141167	114736	41	41	3.69
起源	141167	114736	41	41	3.69
いう	141167	114736	406	355	3.66
あ	141167	114736	72	69	3.62
ま	141167	114736	72	69	3.62
なな	141167	114736	72	69	3.62
オープン	141167	114736	39	39	3.51
意図的	141167	114736	39	39	3.51
ヒエロニムス	141167	114736	39	39	3.51
ボス	141167	114736	39	39	3.51
それぞれ	141167	114736	70	67	3.48
スペシャル	141167	114736	103	96	3.44
開始	141167	114736	38	38	3.42
デイズ	141167	114736	38	38	3.42
終	141167	114736	69	66	3.41
20	141167	114736	37	37	3.33
違う	141167	114736	36	36	3.24
物	141167	114736	36	36	3.24
ブック	141167	114736	36	36	3.24
鎮	141167	114736	36	36	3.24
詞	141167	114736	36	36	3.24
関する	141167	114736	91	85	3.20
通称	141167	114736	35	35	3.15
など	141167	114736	197	176	3.13
4	141167	114736	97	90	3.09
現代	141167	114736	34	34	3.06
る	141167	114736	104	96	3.05
大きな	141167	114736	33	33	2.97
記事	141167	114736	33	33	2.97
形態	141167	114736	33	33	2.97
スケジュール	141167	114736	33	33	2.97
―	141167	114736	33	33	2.97
許多	141167	114736	33	33	2.97
また	141167	114736	124	113	2.95
第	141167	114736	158	142	2.91
と	141167	114736	3437	2845	2.89
イベント	141167	114736	32	32	2.88
そもそも	141167	114736	32	32	2.88
うち	141167	114736	31	31	2.79
開催	141167	114736	60	57	2.78
魔王	141167	114736	60	57	2.78
この	141167	114736	148	133	2.77
たち	141167	114736	362	313	2.72
最新	141167	114736	30	30	2.70
み	141167	114736	30	30	2.70
一部	141167	114736	30	30	2.70
mortale	141167	114736	30	30	2.70
伝統的	141167	114736	30	30	2.70
行おう	141167	114736	30	30	2.70
おきて	141167	114736	30	30	2.70
徐々	141167	114736	30	30	2.70
傾向	141167	114736	30	30	2.70
聖体	141167	114736	30	30	2.70
拝領	141167	114736	30	30	2.70
多数	141167	114736	30	30	2.70
示さ	141167	114736	30	30	2.70
自体	141167	114736	30	30	2.70
甚だしく	141167	114736	30	30	2.70
deadly	141167	114736	30	30	2.70
仆し	141167	114736	30	30	2.70
司る	141167	114736	30	30	2.70
具体的	141167	114736	30	30	2.70
概要	141167	114736	30	30	2.70
特定	141167	114736	30	30	2.70
新しい	141167	114736	30	30	2.70
生活	141167	114736	29	29	2.61
2008	141167	114736	29	29	2.61
教皇	141167	114736	29	29	2.61
庁	141167	114736	29	29	2.61
たい	141167	114736	81	75	2.61
央	141167	114736	57	54	2.58
怠惰	141167	114736	80	74	2.55
人間	141167	114736	188	166	2.53
地上	141167	114736	28	28	2.52
小説	141167	114736	28	28	2.52
古今	141167	114736	28	28	2.52
東西	141167	114736	28	28	2.52
枢	141167	114736	28	28	2.52
ネメシス	141167	114736	28	28	2.52
動物	141167	114736	101	92	2.51
ゲーム	141167	114736	56	53	2.51
映画	141167	114736	79	73	2.49
キリスト教	141167	114736	140	125	2.43
正式	141167	114736	27	27	2.43
テーマ	141167	114736	27	27	2.43
通り	141167	114736	27	27	2.43
STAGE	141167	114736	27	27	2.43
書	141167	114736	26	26	2.34
よ	141167	114736	26	26	2.34
ファン	141167	114736	26	26	2.34
太	141167	114736	25	25	2.25
集結	141167	114736	25	25	2.25
伝説	141167	114736	25	25	2.25
学園	141167	114736	25	25	2.25
プロダクション	141167	114736	25	25	2.25
二人	141167	114736	25	25	2.25
匹	141167	114736	25	25	2.25
交戦	141167	114736	25	25	2.25
乱す	141167	114736	52	49	2.25
漫画	141167	114736	51	48	2.19
付け	141167	114736	51	48	2.19
犯し	141167	114736	257	222	2.18
重大	141167	114736	114	102	2.17
トレーラー	141167	114736	24	24	2.16
レビュー	141167	114736	24	24	2.16
こちら	141167	114736	24	24	2.16
is	141167	114736	24	24	2.16
disabled	141167	114736	24	24	2.16
恐る	141167	114736	24	24	2.16
超	141167	114736	24	24	2.16
venial	141167	114736	24	24	2.16
しまう	141167	114736	24	24	2.16
本	141167	114736	24	24	2.16
昆	141167	114736	24	24	2.16
ふ	141167	114736	24	24	2.16
虫	141167	114736	24	24	2.16
鳥	141167	114736	24	24	2.16
蟲	141167	114736	24	24	2.16
トーク	141167	114736	24	24	2.16
ある	141167	114736	506	428	2.14
色欲	141167	114736	72	66	2.11
災	141167	114736	72	66	2.11
メンバー	141167	114736	23	23	2.07
書い	141167	114736	23	23	2.07
oldid	141167	114736	23	23	2.07
ただ	141167	114736	23	23	2.07
ラジオ	141167	114736	23	23	2.07
・	141167	114736	807	674	2.02
先行	141167	114736	22	22	1.98
思っ	141167	114736	22	22	1.98
殺人	141167	114736	22	22	1.98
title	141167	114736	22	22	1.98
探し	141167	114736	22	22	1.98
P	141167	114736	22	22	1.98
マルチ	141167	114736	21	21	1.89
型	141167	114736	21	21	1.89
結末	141167	114736	21	21	1.89
高慢	141167	114736	21	21	1.89
よれ	141167	114736	21	21	1.89
ほとんど	141167	114736	21	21	1.89
損なう	141167	114736	21	21	1.89
おく	141167	114736	21	21	1.89
注目	141167	114736	21	21	1.89
種	141167	114736	21	21	1.89
二	141167	114736	21	21	1.89
作品名	141167	114736	21	21	1.89
前編	141167	114736	21	21	1.89
ニュース	141167	114736	21	21	1.89
危険性	141167	114736	21	21	1.89
堕落	141167	114736	21	21	1.89
Sins	141167	114736	21	21	1.89
森	141167	114736	21	21	1.89
ワールド	141167	114736	46	43	1.87
どんな	141167	114736	46	43	1.87
その	141167	114736	488	410	1.85
期	141167	114736	149	130	1.84
相姦	141167	114736	45	42	1.81
いき	141167	114736	66	60	1.81
人物	141167	114736	20	20	1.80
概念	141167	114736	20	20	1.80
受ける	141167	114736	20	20	1.80
でし	141167	114736	20	20	1.80
13	141167	114736	20	20	1.80
コメント	141167	114736	20	20	1.80
フィード	141167	114736	20	20	1.80
関わる	141167	114736	20	20	1.80
Seven	141167	114736	20	20	1.80
相当	141167	114736	20	20	1.80
キ	141167	114736	20	20	1.80
最初	141167	114736	20	20	1.80
同じ	141167	114736	20	20	1.80
一員	141167	114736	44	41	1.75
分	141167	114736	19	19	1.71
相手	141167	114736	19	19	1.71
36	141167	114736	19	19	1.71
a	141167	114736	19	19	1.71
b	141167	114736	19	19	1.71
スタート	141167	114736	19	19	1.71
いい	141167	114736	19	19	1.71
ん	141167	114736	108	95	1.70
どう	141167	114736	43	40	1.69
違い	141167	114736	50	46	1.69
告白	141167	114736	63	57	1.67
＞	141167	114736	49	45	1.64
数え	141167	114736	18	18	1.62
構成	141167	114736	18	18	1.62
番組	141167	114736	18	18	1.62
赦し	141167	114736	18	18	1.62
一節	141167	114736	18	18	1.62
宗教的	141167	114736	18	18	1.62
掟	141167	114736	18	18	1.62
久	141167	114736	18	18	1.62
妨害	141167	114736	18	18	1.62
含ま	141167	114736	18	18	1.62
観念	141167	114736	18	18	1.62
印	141167	114736	18	18	1.62
神学	141167	114736	18	18	1.62
従来	141167	114736	18	18	1.62
％	141167	114736	18	18	1.62
X	141167	114736	18	18	1.62
メディア	141167	114736	18	18	1.62
首座	141167	114736	18	18	1.62
絵画	141167	114736	18	18	1.62
状況	141167	114736	18	18	1.62
全部	141167	114736	18	18	1.62
ほう	141167	114736	18	18	1.62
曖昧	141167	114736	18	18	1.62
回避	141167	114736	18	18	1.62
カトリック	141167	114736	260	220	1.60
ひと	141167	114736	41	38	1.58
ましょう	141167	114736	26	25	1.56
犯せ	141167	114736	17	17	1.53
触れ	141167	114736	17	17	1.53
破壊	141167	114736	17	17	1.53
清める	141167	114736	17	17	1.53
盗賊	141167	114736	17	17	1.53
憂鬱	141167	114736	17	17	1.53
騎士	141167	114736	206	175	1.53
強欲	141167	114736	60	54	1.53
場合	141167	114736	60	54	1.53
バン	141167	114736	53	48	1.50
＜	141167	114736	46	42	1.48
箇所	141167	114736	39	36	1.46
全て	141167	114736	16	16	1.44
大冒険	141167	114736	16	16	1.44
ポケット	141167	114736	16	16	1.44
リアル	141167	114736	16	16	1.44
苛ま	141167	114736	16	16	1.44
する	141167	114736	659	540	1.44
12	141167	114736	45	41	1.43
まし	141167	114736	128	110	1.42
って	141167	114736	104	90	1.39
いる	141167	114736	574	467	1.37
ご	141167	114736	74	65	1.36
版	141167	114736	413	340	1.35
25	141167	114736	37	34	1.35
だろう	141167	114736	15	15	1.35
闇	141167	114736	15	15	1.35
プライド	141167	114736	15	15	1.35
解放	141167	114736	15	15	1.35
リスト	141167	114736	15	15	1.35
だい	141167	114736	15	15	1.35
ことがら	141167	114736	15	15	1.35
望み	141167	114736	15	15	1.35
行う	141167	114736	15	15	1.35
羅	141167	114736	15	15	1.35
veniale	141167	114736	15	15	1.35
軽重	141167	114736	15	15	1.35
たとえば	141167	114736	15	15	1.35
ますます	141167	114736	15	15	1.35
偽装	141167	114736	15	15	1.35
成	141167	114736	15	15	1.35
意思	141167	114736	15	15	1.35
通常	141167	114736	15	15	1.35
方法	141167	114736	15	15	1.35
洗礼	141167	114736	15	15	1.35
ゆるさ	141167	114736	15	15	1.35
教理	141167	114736	15	15	1.35
沿っ	141167	114736	15	15	1.35
前述	141167	114736	15	15	1.35
予	141167	114736	15	15	1.35
ただし	141167	114736	15	15	1.35
嘘	141167	114736	15	15	1.35
徳	141167	114736	15	15	1.35
出版	141167	114736	15	15	1.35
1986	141167	114736	15	15	1.35
編	141167	114736	15	15	1.35
grave	141167	114736	15	15	1.35
serious	141167	114736	15	15	1.35
重	141167	114736	15	15	1.35
強調	141167	114736	15	15	1.35
別種	141167	114736	15	15	1.35
決して	141167	114736	15	15	1.35
不幸	141167	114736	15	15	1.35
ファースト	141167	114736	15	15	1.35
ほど	141167	114736	15	15	1.35
しまい	141167	114736	15	15	1.35
背負っ	141167	114736	15	15	1.35
言える	141167	114736	15	15	1.35
Amazon	141167	114736	15	15	1.35
調べる	141167	114736	15	15	1.35
合流	141167	114736	15	15	1.35
合	141167	114736	15	15	1.35
技	141167	114736	15	15	1.35
際	141167	114736	15	15	1.35
バイゼル	141167	114736	15	15	1.35
ショート	141167	114736	15	15	1.35
懺悔	141167	114736	15	15	1.35
祭殿	141167	114736	15	15	1.35
真ん中	141167	114736	15	15	1.35
周囲	141167	114736	15	15	1.35
余裕	141167	114736	15	15	1.35
クリア	141167	114736	15	15	1.35
住ん	141167	114736	15	15	1.35
猫	141167	114736	15	15	1.35
飼え	141167	114736	15	15	1.35
常時	141167	114736	15	15	1.35
純度	141167	114736	15	15	1.35
100	141167	114736	15	15	1.35
画	141167	114736	15	15	1.35
septem	141167	114736	15	15	1.35
peccata	141167	114736	15	15	1.35
seven	141167	114736	15	15	1.35
見做さ	141167	114736	15	15	1.35
げん	141167	114736	15	15	1.35
訳し	141167	114736	15	15	1.35
正典	141167	114736	15	15	1.35
直接	141167	114736	15	15	1.35
Cassianus	141167	114736	15	15	1.35
グレゴリウス	141167	114736	15	15	1.35
みなさ	141167	114736	15	15	1.35
冠	141167	114736	15	15	1.35
死者	141167	114736	15	15	1.35
書籍	141167	114736	15	15	1.35
スカラー	141167	114736	15	15	1.35
CiNii	141167	114736	15	15	1.35
J	141167	114736	15	15	1.35
NDL	141167	114736	15	15	1.35
Binsfeld	141167	114736	15	15	1.35
づけ	141167	114736	15	15	1.35
表現	141167	114736	15	15	1.35
版画家	141167	114736	15	15	1.35
ハンス	141167	114736	15	15	1.35
ブルクマイアー	141167	114736	15	15	1.35
CAPTION	141167	114736	15	15	1.35
比肩	141167	114736	15	15	1.35
今まで	141167	114736	15	15	1.35
いくつ	141167	114736	15	15	1.35
元々	141167	114736	15	15	1.35
注意	141167	114736	15	15	1.35
九	141167	114736	15	15	1.35
Nine	141167	114736	15	15	1.35
Social	141167	114736	15	15	1.35
ウィキ	141167	114736	15	15	1.35
コモンズ	141167	114736	15	15	1.35
他	141167	114736	72	63	1.29
追加	141167	114736	14	14	1.26
導か	141167	114736	14	14	1.26
19	141167	114736	14	14	1.26
指名	141167	114736	14	14	1.26
かけ	141167	114736	14	14	1.26
クリスチャン	141167	114736	14	14	1.26
しかも	141167	114736	14	14	1.26
